model,mae,rmse,mape,smape,r2,directional_accuracy
lstm,0.0026001540996839897,0.003042290601184826,0.0030980005270696055,0.003091698845907267,0.8497905601978146,0.35627761892383675
nbeats,0.004426698697664129,0.005310589159652134,0.005279167959031961,0.005259407869078091,0.5422996503282242,0.35310631661034575
nhits,0.0042219547215440354,0.005048307485912626,0.005030586904456683,0.005013811153287869,0.5863934253000682,0.40181959968806863
random_forest,0.004279525985815233,0.005514778052774999,0.005107899379319618,0.005086388105267937,0.5064264116503286,0.19443722381076164
tcn,0.0018629340684461484,0.0022698416872185137,0.0022197474368530843,0.0022163770643228416,0.916384465414758,0.33543020535482193
tft,0.010900823385267737,0.012355459940483588,0.012986382048136676,0.01287972205035149,-1.4775000326206853,0.4319209773849753
transformer,0.004021162096761172,0.004736065922423436,0.0047919514010135045,0.0047768200642829516,0.6359749144671942,0.34094099298154407
