threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[44.1413149410846, 10.365466583710441, 2.319081114774544, 0.8991399009660134]","[0.21077321503625498, 0.10169621286240182, 0.04079311529780602, 0.02338530087537722]","[14749, 1412, 204, 21]","[0, 13337, 14545, 14728]"
0.00069321,"[43.87828934451936, 36.21902122604755, 17.24267909763483, 6.321662996903603]","[0.209462001248284, 0.20842795009876658, 0.1327067971313232, 0.07946256399011797]","[14749, 8713, 3165, 859]","[0, 6036, 11584, 13890]"
0.00138642,"[35.65834606573343, 9.418123273996198, 2.360298594349077, 0.8991399009660134]","[0.21096844005085977, 0.10276502665517986, 0.042649125129502995, 0.02338530087537722]","[8809, 1321, 194, 20]","[5940, 13428, 14555, 14729]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
