model,mae,rmse,mape,smape,r2,directional_accuracy
lstm,0.0013372750367396907,0.0017016453557118347,0.0011862092325464076,0.0011869427094763417,0.9607962844280556,0.27688135593220337
nbeats,0.001111776731404868,0.0015045871197480005,0.0009875440466738305,0.000987826344014846,0.9693504711056815,0.27091525423728813
nhits,0.0018649736666286195,0.0022227395482656985,0.0016538485128918079,0.0016555830422555204,0.9331092172970041,0.2583050847457627
random_forest,0.0007461698585923058,0.0010951664404560864,0.0006631706019830299,0.0006631808181667479,0.9837613703017536,0.23803389830508476
tcn,0.0011071434619131424,0.0014433824514826915,0.000983611793409766,0.0009841962247857155,0.9717933203658816,0.2511186440677966
tft,0.004938925952979438,0.00666350548685179,0.0043872043649214485,0.004399119384958582,0.3988336772273616,0.33328813559322035
transformer,0.0022509982996745167,0.002761307854215633,0.0020026992434941686,0.002005323881820811,0.8967669447935024,0.2544406779661017
