threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[14.043346692100181, 15.171175148801083, 18.506535600155015, 27.223691766484997]","[0.033649245972326575, 0.03839647531114801, 0.048827386276925504, 0.08230959095386763]","[19040, 18027, 16772, 12642]","[0, 1013, 2268, 6398]"
0.00034665,"[34.51665385672077, 35.58154448115125, 37.32094728698427, 41.42490218429293]","[0.08294236441798772, 0.08889061202347835, 0.09765776586744708, 0.1252314186250423]","[19040, 17589, 15985, 12218]","[0, 1451, 3055, 6822]"
0.0006933,"[45.775470590785304, 36.02675508488472, 23.458162941369263, 7.742803096768113]","[0.14864170693455112, 0.13947716209583605, 0.11178047808111856, 0.0540714571021305]","[9806, 5735, 2686, 527]","[9234, 13305, 16354, 18513]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
