threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[16.65316592236453, 16.832306095625256, 17.36125514963456, 14.816889253884206]","[0.07804532776951568, 0.08515206781210563, 0.09602391561048672, 0.10312069801269855]","[14749, 12088, 9446, 4931]","[0, 2661, 5303, 9818]"
0.00069321,"[26.417896947497248, 26.50694620533986, 25.43865130774591, 20.132995343606026]","[0.12438371453988761, 0.1343196003157743, 0.1394581516797851, 0.13700648127468643]","[14749, 12212, 9707, 5537]","[0, 2537, 5042, 9212]"
0.00138642,"[23.3345335348281, 18.35193377586641, 7.96999000847889, 2.254501713794398]","[0.16430166585151734, 0.14928737131767142, 0.0896972980584522, 0.0439860679856646]","[5617, 3724, 1186, 138]","[9132, 11025, 13563, 14611]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
