threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[46.81199763244893, 35.977094602563135, 17.506153983817473, 5.242563288815998]","[0.1128138313796292, 0.10495580486127845, 0.0634783336733834, 0.0256368825796509]","[19040, 11332, 7192, 4446]","[0, 7708, 11848, 14594]"
0.00034665,"[65.374126002423, 60.79698724992445, 49.621194270934915, 27.12322987570951]","[0.15850877274484548, 0.16212616000924854, 0.1450415052529099, 0.09991772976677367]","[19040, 14773, 11071, 6444]","[0, 4267, 7969, 12596]"
0.0006933,"[61.81535107012871, 36.75408771551793, 16.413988770721083, 4.498129780701609]","[0.18272992014096864, 0.13876974611997778, 0.08782347297438389, 0.04044875931533147]","[11565, 5044, 1847, 277]","[7475, 13996, 17193, 18763]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
