threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[25.761027469520492, 25.591336480074958, 16.824157490933608, 3.1728766393453105]","[0.12124491498501502, 0.14804998680876993, 0.12767760001468303, 0.04057243588793077]","[14749, 8585, 3275, 249]","[0, 6164, 11474, 14500]"
0.00069321,"[39.43295602077974, 37.86426056478614, 28.505098708082432, 11.521891557163546]","[0.18745194940228982, 0.2048295170843831, 0.18578898778144243, 0.10721608066804285]","[14749, 9908, 5892, 1713]","[0, 4841, 8857, 13036]"
0.00138642,"[27.791150115581505, 18.218404849976583, 7.064389766487688, 1.488030598195495]","[0.18415847351597867, 0.14970099931150044, 0.08283732168163546, 0.032355570548174895]","[6214, 3458, 915, 79]","[8535, 11291, 13834, 14670]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
