threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[8.59809999648166, 8.92034317669109, 11.348577089209927, 11.088958866100585]","[0.020594609481941605, 0.02206473745296877, 0.028942274700818282, 0.03079238247889444]","[19040, 18003, 16840, 14160]","[0, 1037, 2200, 4880]"
0.00034665,"[24.084542921821335, 22.840335174517858, 23.750331251787312, 24.092062127319327]","[0.0577724724108853, 0.05680762795236852, 0.06153754606315569, 0.06747463306909085]","[19040, 17830, 16596, 14089]","[0, 1210, 2444, 4951]"
0.0006933,"[43.6259783574949, 35.402905282376175, 21.98543627418766, 5.890992045919922]","[0.1434316756403871, 0.13858617614382185, 0.10563450913270929, 0.047121692008491124]","[9600, 5657, 2732, 524]","[9440, 13383, 16308, 18516]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
