threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[9.622615308813753, 10.127060503997301, 9.374646450181036, 8.474964165425531]","[0.01412507567534987, 0.01506049476995596, 0.014029518171892087, 0.012951852499401671]","[19234, 18772, 18335, 17409]","[0, 462, 899, 1825]"
0.00044193,"[15.25149611700747, 14.71854533292869, 14.159141651055492, 14.038313984511852]","[0.02239111030364336, 0.021872620540052443, 0.02119352072352872, 0.021406663376133804]","[19234, 18771, 18345, 17439]","[0, 463, 889, 1795]"
0.00088387,"[54.99355045063127, 41.6030215894757, 21.637168361894027, 5.547206161104658]","[0.11751664405000758, 0.10252601789172666, 0.06851845467206931, 0.02649773109149469]","[8485, 4174, 1743, 344]","[10749, 15060, 17491, 18890]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
