threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[38.300716364385764, 33.85386770155256, 20.839013702636773, 6.6539958683929905]","[0.18188884813010497, 0.19255303493960133, 0.1458517788097699, 0.07026441733214008]","[14749, 8100, 3719, 633]","[0, 6649, 11030, 14116]"
0.00069321,"[46.95208102733669, 41.725820337557884, 33.109429277356824, 15.328709599336548]","[0.2248518082172935, 0.2264414102213107, 0.20336274199718415, 0.1271802239796867]","[14749, 10058, 6262, 2152]","[0, 4691, 8487, 12597]"
0.00138642,"[31.753381567248855, 22.75854601548603, 8.733316616571873, 1.779938685407578]","[0.20502646057931, 0.17662188824714783, 0.09484911757092494, 0.034793230374366664]","[7007, 3756, 1080, 115]","[7742, 10993, 13669, 14634]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
