threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[23.494674250244334, 22.282361493306517, 24.419214804266932, 29.93792400251211]","[0.034505009204459265, 0.03416235193996158, 0.038324708927530766, 0.04987175199193419]","[19234, 18658, 17960, 15716]","[0, 576, 1274, 3518]"
0.00044193,"[38.210609058720756, 38.90207093419598, 40.24635416983766, 44.16376065305476]","[0.05617232391471938, 0.058309327196318206, 0.06158470503862501, 0.07047548926074262]","[19234, 18440, 17615, 15499]","[0, 794, 1619, 3735]"
0.00088387,"[62.559957323621816, 45.56713536598407, 24.44828543658837, 6.628273552638793]","[0.1213394579444678, 0.10511057234447968, 0.07200243587427463, 0.030204242548660238]","[8627, 4245, 1739, 331]","[10607, 14989, 17495, 18903]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
