model,mae,rmse,mape,smape,r2,directional_accuracy
lstm,0.00307813665623999,0.003826124311986176,0.0027228999351315416,0.002717340326837218,0.9454074958576606,0.4241373877422404
nbeats,0.0019339244232162598,0.0022702728163815663,0.0017201637529031804,0.001722129427004363,0.9807792220607039,0.4308072055039126
nhits,0.00430292197667129,0.004503131900423755,0.00383387316347339,0.0038419007782028443,0.9243786895313957,0.43043957775326924
random_forest,0.005297614125833373,0.010691307153535565,0.0046275802829022425,0.0046710396382787026,0.5737381391391345,0.290635996008613
tcn,0.0014054598265929102,0.0022963639038922233,0.0012365060872756486,0.0012383653977397077,0.9803348942374305,0.3866918754267108
tft,0.00782403704177739,0.012381636556690731,0.0068864125805123315,0.00694077903797234,0.4282963475171604,0.48637151410115015
transformer,0.006319917292387701,0.009378201628252418,0.0055760044581259815,0.005603344894389212,0.672014990704404,0.4047581534583268
