threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[29.149317078051997, 30.77242091856552, 26.313134609556645, 29.0296102874189]","[0.042823343406635, 0.04781873493621537, 0.04490201979035628, 0.05883211831912806]","[19234, 16618, 14198, 8835]","[0, 2616, 5036, 10399]"
0.00044193,"[58.66311642114288, 57.750127925728336, 55.07855480558286, 53.39564718985095]","[0.08642419558554788, 0.08857394432762924, 0.0888510219795636, 0.09533054458798386]","[19234, 16934, 14522, 9552]","[0, 2300, 4712, 9682]"
0.00088387,"[65.45402545956098, 44.70059871339125, 20.62423799189214, 4.6973304518338415]","[0.12577828618685746, 0.09835726261532314, 0.06379371253874423, 0.028517721928695935]","[8876, 3946, 1392, 198]","[10358, 15288, 17842, 19036]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
