threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[16.753785796971684, 18.046037876271306, 20.78663385924174, 13.6082619873102]","[0.07851978294796863, 0.0929536895337757, 0.1206179161925804, 0.11354506584335597]","[14749, 12364, 9105, 2628]","[0, 2385, 5644, 12121]"
0.00069321,"[29.250265764709944, 28.802112264295076, 28.703157357865628, 20.863197591531403]","[0.13796071170666482, 0.14764991475947742, 0.16321913987250836, 0.1523474284054429]","[14749, 12054, 9214, 4057]","[0, 2695, 5535, 10692]"
0.00138642,"[24.11903117824477, 18.619577980412803, 8.778348040878473, 2.019654360414189]","[0.16830647424327017, 0.15262020816674957, 0.09727659452054173, 0.039785641526742174]","[5541, 3793, 1174, 127]","[9208, 10956, 13575, 14622]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
