threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[27.571602498136762, 27.715948543601073, 25.194498138865846, 7.012627515052366]","[0.12990543934723175, 0.15184427281911822, 0.16732556970890797, 0.07431873530531184]","[14749, 10128, 5601, 844]","[0, 4621, 9148, 13905]"
0.00069321,"[38.760395719677234, 37.40689342445849, 33.170572388647386, 16.429965425134604]","[0.18414542128146563, 0.19716523754874699, 0.19981184745369163, 0.13378614764523844]","[14749, 10870, 7271, 2555]","[0, 3879, 7478, 12194]"
0.00138642,"[28.729068555068263, 21.189194753889087, 9.511596263586522, 2.07227802459513]","[0.1892749206087234, 0.16641902078718387, 0.10174545744307624, 0.04031024247897205]","[6462, 3998, 1233, 143]","[8287, 10751, 13516, 14606]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
