threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[37.92713169310321, 22.722235803297316, 16.502841774496098, 15.226714628275326]","[0.0557542916595195, 0.03745727338106439, 0.028441413490004383, 0.027895178047841904]","[19234, 15109, 14035, 12783]","[0, 4125, 5199, 6451]"
0.00044193,"[50.29916258823011, 47.967542737437775, 41.54623078035209, 31.35142575310681]","[0.0740289986538066, 0.07334827293682021, 0.06572707720287123, 0.05304085828552861]","[19234, 17100, 15382, 13218]","[0, 2134, 3852, 6016]"
0.00088387,"[69.00060196579362, 42.545496135371565, 18.295050057805327, 3.705825396696976]","[0.13097344326527277, 0.10134306282889433, 0.05823508175314891, 0.019230434800355366]","[9732, 3817, 1327, 230]","[9502, 15417, 17907, 19004]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
