threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[46.99474890381999, 30.81052214913966, 11.549525965721438, 2.507040885321588]","[0.11325988838460789, 0.09289169916719572, 0.0445348725965606, 0.011446924667106551]","[19040, 10671, 7011, 5616]","[0, 8369, 12029, 13424]"
0.00034665,"[57.68746325668456, 53.98599621818993, 43.71335986922637, 22.280570212613437]","[0.1394840768857345, 0.14206911274914144, 0.12642330696269655, 0.07860291700302263]","[19040, 15101, 11655, 7570]","[0, 3939, 7385, 11470]"
0.0006933,"[62.17595823260538, 36.731758557313874, 15.159329869742932, 3.8829484192668637]","[0.17738661222985913, 0.1384138216915008, 0.086936461942426, 0.03629462032051298]","[12472, 5094, 1697, 255]","[6568, 13946, 17343, 18785]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
