threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[13.364416566116033, 13.631650772184889, 13.247045904357458, 11.843858228463022]","[0.03202075191969332, 0.03340223658294347, 0.03333654379671207, 0.03152313199329235]","[19040, 17947, 16910, 15057]","[0, 1093, 2130, 3983]"
0.00034665,"[23.31694445224075, 22.8845653430151, 22.136150352179154, 19.881382553225006]","[0.05592535201249339, 0.05619085592538149, 0.05571573525400179, 0.052655732212244004]","[19040, 18026, 17025, 15249]","[0, 1014, 2015, 3791]"
0.0006933,"[45.420473725381186, 34.96122467326003, 22.094479479556448, 7.1670020979802525]","[0.14681921706147413, 0.13362251593905441, 0.1023715055132211, 0.052248694786170724]","[9647, 5561, 2624, 502]","[9393, 13479, 16416, 18538]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
