threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[31.771215285136687, 31.632106590868087, 30.94811884738637, 27.7660855297457]","[0.046683228747676116, 0.047534342528686484, 0.04759348256372282, 0.04637636747323608]","[19234, 18138, 17102, 15048]","[0, 1096, 2132, 4186]"
0.00044193,"[43.2374359282066, 42.463095094267665, 43.30241522139248, 43.077462154761825]","[0.06359025734218157, 0.06378826940942994, 0.06664110423012005, 0.0691006454105282]","[19234, 18187, 17170, 15185]","[0, 1047, 2064, 4049]"
0.00088387,"[66.15216486645748, 49.39941626222537, 27.668179717795248, 7.237482261019074]","[0.12761742611287824, 0.10683825387871179, 0.0730111143064651, 0.03295911893094982]","[8805, 4274, 1740, 319]","[10429, 14960, 17494, 18915]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
