threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[2.336401348898691, 2.695768383716734, 2.690782238805882, 3.255517868388628]","[0.005595169336221094, 0.006485013692377913, 0.006572399643847112, 0.008034168316626374]","[19040, 19000, 18952, 18795]","[0, 40, 88, 245]"
0.00034665,"[6.363314482439319, 5.76216861226968, 6.1239191379018285, 7.964973093796368]","[0.015240275078233188, 0.013884171173583142, 0.014851708179864016, 0.01970980137262625]","[19040, 18932, 18778, 18395]","[0, 108, 262, 645]"
0.0006933,"[39.98593460948949, 32.9928302621577, 22.253872916402557, 8.054268901245926]","[0.1380181881116425, 0.13514884330516255, 0.11456286395673201, 0.06057701384158933]","[9223, 5527, 2634, 541]","[9817, 13513, 16406, 18499]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
