threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[40.61343957415817, 38.79540883646458, 32.404288963537994, 30.26912212441887]","[0.05971687914563319, 0.05917060381788039, 0.050997705884436674, 0.051273563376019016]","[19234, 17259, 15779, 13565]","[0, 1975, 3455, 5669]"
0.00044193,"[54.05913385362869, 52.105567491172074, 50.99973706851198, 52.5795184068016]","[0.07959666033361584, 0.07904090229216922, 0.07943282031651581, 0.08750254195815066]","[19234, 17670, 16222, 13260]","[0, 1564, 3012, 5974]"
0.00088387,"[69.93319091627119, 51.171626253302186, 27.332752721191213, 8.248072754291131]","[0.13245231412894845, 0.10962456772153996, 0.0714515495675963, 0.029631503806528806]","[9208, 4389, 1768, 331]","[10026, 14845, 17466, 18903]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
