threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[34.51102384762054, 32.49230203501302, 26.689669277506773, 16.886001467208896]","[0.050718926991793, 0.05086810128263583, 0.0430917849274178, 0.02862421078868897]","[19234, 17337, 15887, 14452]","[0, 1897, 3347, 4782]"
0.00044193,"[47.78207302682791, 44.72905968895473, 41.209755968425654, 34.033668898463304]","[0.070305615589101, 0.06719625963847498, 0.0632097749490324, 0.05475615976434194]","[19234, 17898, 16732, 14847]","[0, 1336, 2502, 4387]"
0.00088387,"[67.19684613498931, 47.88901803836463, 24.486955875714884, 6.234570063391925]","[0.13522557514182013, 0.11085301810814908, 0.07266820528242987, 0.028586123227080273]","[9105, 4310, 1704, 306]","[10129, 14924, 17530, 18928]"
0.00176773,"[374.9782418102043, 301.46567143780857, 186.69500375571715, 70.35389747631459]","[0.6592005272385384, 0.5089192107894763, 0.31662674978001987, 0.13389087800781466]","[16733, 8361, 3489, 673]","[2501, 10873, 15745, 18561]"
