threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[12.160803097326736, 12.711356323856789, 12.818499057318837, 11.840359328542645]","[0.029134360117995483, 0.031244617803481648, 0.032310822281346, 0.031624182933097815]","[19040, 17923, 16893, 14783]","[0, 1117, 2147, 4257]"
0.00034665,"[24.82908457243911, 23.50293611507838, 22.49426053605298, 19.908514519027886]","[0.05956467281307021, 0.05759523205818805, 0.056384154322864526, 0.05260384435035257]","[19040, 17983, 16983, 14943]","[0, 1057, 2057, 4097]"
0.0006933,"[44.69480922084074, 35.07773013963311, 21.790078794453656, 6.676940625009807]","[0.14273232795088617, 0.1312812217120484, 0.09889662000315047, 0.04733427062061698]","[9652, 5647, 2651, 518]","[9388, 13393, 16389, 18522]"
0.00138659,"[264.8367465001111, 229.42854041744093, 155.85407021656002, 50.593073707923885]","[0.8202952127278711, 0.709613041636654, 0.47780834157720564, 0.19346144592612666]","[18267, 10970, 5295, 1059]","[773, 8070, 13745, 17981]"
