threshold,total_profit,sharpe_ratio,num_trades,no_trades
0.0,"[13.406420193367278, 13.444730074047865, 12.902271787755447, 11.187924660281553]","[0.06276217152828201, 0.06587847291043136, 0.06642311879141502, 0.06662543539024969]","[14749, 13046, 11453, 8696]","[0, 1703, 3296, 6053]"
0.00069321,"[19.217257544007353, 19.07271543564316, 19.06291974931925, 16.488078064782307]","[0.09015308867002673, 0.09407085756255368, 0.09872702528505266, 0.09591339762314721]","[14749, 13156, 11655, 9071]","[0, 1593, 3094, 5678]"
0.00138642,"[22.97425158262067, 19.13394170410874, 8.211009708267547, 2.1141273978098014]","[0.16529375377514863, 0.15581333494876148, 0.09161355723020069, 0.04385497433481546]","[5445, 3845, 1257, 158]","[9304, 10904, 13492, 14591]"
0.00277284,"[134.7753775974385, 119.77906227660182, 65.77620107381266, 18.216740165644936]","[0.8106190106750039, 0.7033247869167554, 0.38035035993553196, 0.13756179811194044]","[9836, 7599, 2501, 359]","[4913, 7150, 12248, 14390]"
